x,y,z,qx,qy,qz,qw,time
-0.292155920733,-0.276359040093,-0.0690053127592,0.300800406405,0.0959535432102,0.917823759567,0.240648248336,1754272683.96
-0.292155707877,-0.276358915797,-0.0690051894824,0.300800231383,0.095953671053,0.917823806709,0.240648236333,1754272684.0
-0.292155908376,-0.276358702475,-0.0690053966856,0.300800242601,0.0959537138906,0.9178239149,0.240647792591,1754272684.09
-0.292155360087,-0.27635881458,-0.0690055774421,0.30080034663,0.095953334185,0.917823962255,0.240647633348,1754272684.21
-0.292155232652,-0.27635905325,-0.0690052966627,0.300800299033,0.0959531939897,0.917823848382,0.240648183053,1754272684.28
-0.292155408453,-0.276358603757,-0.0690052547363,0.300800187134,0.0959535676071,0.917823986445,0.240647647382,1754272684.38
-0.292155292795,-0.276358721679,-0.0690053136406,0.300800224321,0.0959535118038,0.91782389963,0.24064795426,1754272684.5
-0.292155215165,-0.276358851768,-0.0690053810059,0.30080038204,0.095953618471,0.9178238461,0.240647918747,1754272684.6
-0.292155394126,-0.27635887856,-0.0690052299675,0.300800264519,0.0959535380123,0.917823816339,0.240648211231,1754272684.68
-0.292155436097,-0.276358839287,-0.06900534354,0.300800389793,0.095953459067,0.917823847247,0.240647968241,1754272684.8
-0.292155371135,-0.276358768818,-0.0690050854156,0.30080020558,0.0959534918253,0.917823873593,0.240648084954,1754272684.91
-0.292155197925,-0.276358747498,-0.0690050346017,0.300800220984,0.0959535458712,0.917823850488,0.240648132274,1754272684.98
-0.292155441239,-0.276358755506,-0.069005126423,0.30080033852,0.0959535326097,0.917823821309,0.240648101932,1754272685.1
-0.292155187209,-0.276358709048,-0.0690051539126,0.30080026812,0.095953621331,0.917823870202,0.240647968076,1754272685.18
-0.292154906204,-0.276359141276,-0.0690050011758,0.300800330463,0.0959533684151,0.917823721626,0.24064855766,1754272685.3
-0.292155593074,-0.276358386247,-0.0690050919329,0.300800157232,0.0959536842569,0.91782398013,0.240647662332,1754272685.37
-0.292155274981,-0.276358534832,-0.0690049889191,0.300800148681,0.0959535250205,0.917824041866,0.240647501051,1754272685.48
